Fecha, Zona, CO2, SO2, NO2, PM2.5
2020-01-01, Norte, 32.5, 0.8, 2.1, 10.0
2020-01-02, Norte, 34.1, 0.7, 2.4, 10.5
2020-01-03, Norte, 33.0, 0.9, 2.2, 9.8
2020-01-01, Sur, 40.5, 1.2, 3.1, 15.0
2020-01-02, Sur, 38.0, 1.0, 2.8, 14.5
2020-01-03, Sur, 37.5, 1.1, 2.7, 13.9
2020-01-01, Este, 41.0, 1.3, 3.3, 17.0
2020-01-02, Este, 39.7, 1.1, 3.0, 16.5
2020-01-03, Este, 40.3, 1.2, 3.2, 16.8
2020-01-01, Centro, 45.0, 1.4, 3.5, 18.0
2020-01-02, Centro, 42.2, 1.3, 3.0, 17.5
2020-01-03, Centro, 44.5, 1.5, 3.4, 18.3
2020-01-01, Oeste, 30.1, 0.6, 1.9, 8.5
2020-01-02, Oeste, 29.4, 0.5, 1.8, 8.1
2020-01-03, Oeste, 30.0, 0.7, 2.0, 8.3
2020-01-01, Norte,37.3,0.8,1.6,9.3
2020-01-01, Sur,38.9,1.5,3.2,13.1
2020-01-01, Este,45.2,1.2,3.5,15.0
2020-01-01, Centro,39.1,1.1,2.3,21.1
2020-01-01, Oeste,30.3,0.4,2.0,8.6
2020-01-02, Norte,34.4,1.0,2.1,8.8
2020-01-02, Sur,40.3,1.3,2.9,17.7
2020-01-02, Este,39.5,1.0,3.3,15.8
2020-01-02, Centro,44.9,1.2,3.2,20.8
2020-01-02, Oeste,29.0,0.4,2.3,6.7
2020-01-03, Norte,31.8,0.9,2.5,11.9
2020-01-03, Sur,37.2,1.2,2.7,13.6
2020-01-03, Este,42.7,1.1,3.3,17.0
2020-01-03, Centro,41.8,1.6,3.5,15.0
2020-01-03, Oeste,30.4,0.4,2.2,6.1
2020-01-04, Norte,32.5,0.9,2.2,11.2
2020-01-04, Sur,35.6,1.4,3.0,16.5
2020-01-04, Este,42.1,1.2,2.8,15.9
2020-01-04, Centro,47.1,1.7,3.1,13.7
2020-01-04, Oeste,29.4,0.5,1.8,9.1
2020-01-05, Norte,35.0,1.0,2.4,7.4
2020-01-05, Sur,38.0,1.6,3.0,15.0
2020-01-05, Este,41.1,1.3,2.5,16.4
2020-01-05, Centro,43.8,1.7,3.3,15.5
2020-01-05, Oeste,30.7,0.4,1.5,7.0
2020-01-06, Norte,34.3,1.1,2.4,11.0
2020-01-06, Sur,39.6,1.1,3.1,10.8
2020-01-06, Este,40.6,1.0,3.5,16.5
2020-01-06, Centro,44.0,1.1,3.6,18.9
2020-01-06, Oeste,30.9,0.4,1.7,8.6
2020-01-07, Norte,31.8,0.9,1.6,9.4
2020-01-07, Sur,42.3,1.2,2.9,17.4
2020-01-07, Este,35.7,1.0,3.0,18.1
2020-01-07, Centro,45.7,1.2,3.6,17.3
2020-01-07, Oeste,32.3,0.4,1.9,7.6
2020-01-08, Norte,35.3,0.7,2.2,10.9
2020-01-08, Sur,39.8,1.3,2.9,13.8
2020-01-08, Este,39.6,1.2,3.2,16.5
2020-01-08, Centro,43.9,1.1,3.5,18.2
2020-01-08, Oeste,31.8,0.6,1.4,7.8
2020-01-09, Norte,32.8,0.9,1.6,10.2
